STATUS | wrapper  | 2019/10/03 04:03:13 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/10/03 04:03:13 | Launching a JVM...
INFO   | jvm 1    | 2019/10/03 04:03:13 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2019/10/03 04:03:17 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/10/03 04:03:17 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/10/03 04:03:17 | 
INFO   | jvm 1    | 2019/10/03 04:03:18 | 
INFO   | jvm 1    | 2019/10/03 04:03:18 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/10/03 04:03:18 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at io.mycat.MycatStartup.main(MycatStartup.java:53)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at java.lang.reflect.Method.invoke(Method.java:498)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2019/10/03 04:03:18 | Caused by: io.mycat.config.util.ConfigException: dataNode 'masterDN' is not found!
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.checkDataNodeExists(XMLSchemaLoader.java:534)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.loadSchemas(XMLSchemaLoader.java:166)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.load(XMLSchemaLoader.java:122)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:83)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:87)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at io.mycat.config.ConfigInitializer.<init>(ConfigInitializer.java:76)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at io.mycat.config.MycatConfig.<init>(MycatConfig.java:72)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at io.mycat.MycatServer.<init>(MycatServer.java:170)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	at io.mycat.MycatServer.<clinit>(MycatServer.java:116)
INFO   | jvm 1    | 2019/10/03 04:03:18 | 	... 7 more
STATUS | wrapper  | 2019/10/03 04:03:21 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/10/03 04:03:22 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/10/03 04:03:22 | Launching a JVM...
INFO   | jvm 1    | 2019/10/03 04:03:22 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2019/10/03 04:03:23 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/10/03 04:03:23 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/10/03 04:03:23 | 
INFO   | jvm 1    | 2019/10/03 04:03:25 | 
INFO   | jvm 1    | 2019/10/03 04:03:25 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/10/03 04:03:25 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at io.mycat.MycatStartup.main(MycatStartup.java:53)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at java.lang.reflect.Method.invoke(Method.java:498)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | 2019/10/03 04:03:25 | Caused by: io.mycat.config.util.ConfigException: dataNode 'masterDN' is not found!
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.checkDataNodeExists(XMLSchemaLoader.java:534)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.loadSchemas(XMLSchemaLoader.java:166)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.load(XMLSchemaLoader.java:122)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:83)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at io.mycat.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:87)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at io.mycat.config.ConfigInitializer.<init>(ConfigInitializer.java:76)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at io.mycat.config.MycatConfig.<init>(MycatConfig.java:72)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at io.mycat.MycatServer.<init>(MycatServer.java:170)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	at io.mycat.MycatServer.<clinit>(MycatServer.java:116)
INFO   | jvm 1    | 2019/10/03 04:03:25 | 	... 7 more
STATUS | wrapper  | 2019/10/03 04:03:28 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/10/03 04:03:29 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/10/03 04:03:29 | Launching a JVM...
INFO   | jvm 1    | 2019/10/03 04:03:29 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2019/10/03 04:03:30 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/10/03 04:03:30 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
